Code.Class	Name	Accession	20140224_il10_brains_custom2_01.RCC	20140224_il10_brains_custom2_02.RCC	20140224_il10_brains_custom2_03.RCC	20140224_il10_brains_custom2_04.RCC	20140224_il10_brains_custom2_05.RCC	20140224_il10_brains_custom2_06.RCC	20140224_il10_brains_custom2_07.RCC	20140224_il10_brains_custom2_08.RCC	20140224_il10_brains_custom2_09.RCC	20140224_il10_brains_custom2_10.RCC	20140224_il10_brains_custom2_11.RCC	20140224_il10_brains_custom2_12.RCC	20140319_il1ntg_c-2exp3_03.RCC	20140319_il1ntg_c-2exp3_04.RCC	20140319_il1ntg_c-2exp3_05.RCC	20140319_il1ntg_c-2exp3_06.RCC	20140319_il1ntg_c-2exp3_07.RCC	20140319_il1ntg_c-2exp3_08.RCC	20140319_il1ntg_c-2exp3_09.RCC	20140319_il1ntg_c-2exp3_11.RCC	20140319_il1ntg_c-2exp3_12.RCC	20140321_old_mice_bri42-crnd8_07.RCC	20140321_old_mice_bri42-crnd8_08.RCC	20140321_old_mice_bri42-crnd8_09.RCC	20140321_old_mice_bri42-crnd8_10.RCC	20140321_old_mice_bri42-crnd8_11.RCC	20140321_old_mice_bri42-crnd8_12.RCC	
164	Endogenous	Ncf1	NM_010876.3	85	92	19	50	68	48	101	115	28	60	56	67	27	11	36	32	73	58	13	25	17	148	163	88	74	69	45
165	Endogenous	Neprilysin	NM_008604.3	81	103	26	119	138	127	143	107	34	149	126	120	35	37	86	75	120	96	20	100	77	144	160	59	186	203	141
166	Endogenous	Nos2	NM_010927.3	1	1	1	2	4	2	7	4	2	2	1	2	1	1	4	2	2	1	1	3	1	1	6	2	2	1	1
167	Endogenous	P2RY6	NM_183168.2	24	46	8	25	27	22	43	61	17	19	26	29	17	3	32	16	31	34	15	26	18	65	67	31	21	17	19
168	Endogenous	P2ry12	NM_027571.3	288	200	66	410	459	447	285	183	72	575	440	549	85	116	284	240	278	294	50	259	226	496	771	326	519	512	452
169	Endogenous	PPP1R2	NM_025800.3	1371	1135	312	1238	1652	1593	1715	1558	343	1504	1359	1871	346	485	930	846	1079	1043	224	1023	780	1735	1917	788	2010	2026	1748
170	Endogenous	PSD95	NM_001109752.1	1287	1185	361	1626	2039	1777	1873	1761	426	1866	1427	2176	314	433	943	765	846	874	214	1035	847	2963	3550	1380	3891	3686	2204
171	Endogenous	PTAFR/PAFR	NM_001081211.1	18	16	7	7	22	23	36	48	4	15	16	27	1	7	14	11	28	17	9	12	13	40	38	20	29	15	25
172	Endogenous	PTGDS	NM_008963.2	6097	6274	1799	6002	8924	11083	8607	8941	1935	9083	6239	12806	1756	2962	4939	5173	4746	6678	1354	7565	6768	13542	15603	5948	16214	15284	12646
173	Endogenous	PTGER1	NM_013641.2	3	4	1	4	9	6	8	7	1	10	4	5	1	3	8	5	5	6	1	8	10	10	11	10	13	7	8
174	Endogenous	PTGER4	NM_008965.1	13	16	2	3	11	7	9	22	3	10	13	5	2	2	2	3	5	7	1	3	4	15	10	5	7	7	8
175	Endogenous	PTGS2	NM_011198.3	72	65	29	81	74	81	128	155	19	86	71	96	14	33	52	84	94	59	16	81	59	93	91	60	162	145	119
176	Endogenous	PTPRC/CD45	NM_011210.3	99	92	25	28	42	28	100	156	31	31	43	55	27	13	31	31	89	90	19	19	18	78	74	42	39	28	26
177	Endogenous	Park9_(ATP13A2)	NM_001164366.1	51	44	18	35	67	57	58	58	18	70	52	85	5	16	31	14	27	28	5	34	25	155	157	71	157	170	117
178	Endogenous	Peripherin	NM_001163588.1	11	16	7	8	26	18	15	15	5	20	7	17	4	4	25	11	16	13	4	14	10	21	21	10	25	28	24
179	Endogenous	Pink1	NM_026880.2	1442	1285	301	1083	1696	1416	1610	1484	306	1567	1069	1549	253	426	828	663	895	750	238	840	797	2149	2589	863	2355	2726	2219
180	Endogenous	Plasmin	NM_008877.3	5	11	2	4	4	5	3	3	1	8	6	7	2	2	5	4	11	7	3	10	5	10	6	1	8	10	5
181	Endogenous	Prkcb1	NM_008855.2	3803	3681	1155	4721	6353	5390	6112	5767	1313	6050	5247	6338	1162	1426	3171	3193	4097	4035	834	4073	3063	6062	7152	2764	8451	7542	6349
182	Endogenous	Ptpn6	NM_013545.2	83	118	33	52	56	63	128	158	36	63	62	63	44	13	33	31	90	85	26	26	31	135	109	55	47	57	46
183	Endogenous	S100A11	NM_016740.3	198	166	44	101	175	181	221	223	48	133	93	205	45	37	151	180	108	124	34	90	131	267	296	87	214	177	172
184	Endogenous	S100A8	NM_013650.2	128	152	21	36	33	28	148	42	15	114	42	41	3	8	29	1220	57	221	37	7	17	59	31	20	45	43	9
185	Endogenous	S100A9	NM_009114.2	18	31	4	10	4	9	20	17	3	14	5	9	5	5	8	159	9	23	11	7	7	9	8	4	9	12	5
186	Endogenous	SERPINA1	NM_009243.3	8	10	3	5	16	7	23	11	1	10	9	12	1	4	8	3	5	7	4	9	7	22	26	9	14	12	10
187	Endogenous	SERPINA3	NM_009252.2	258	81	42	68	84	73	163	280	40	108	74	123	34	20	39	33	54	49	22	41	52	472	554	215	125	101	132
188	Endogenous	SOD1	NM_000454.4	4	2	1	2	3	5	8	3	1	5	1	1	1	3	3	2	4	7	4	3	2	2	7	5	10	3	5
189	Endogenous	SOD1	NM_011434.1	4829	4183	1172	3357	5967	5781	6147	5978	1420	5616	3988	6941	1297	1846	4123	3360	4618	4537	814	4157	3727	5235	6353	2397	6397	6172	6424
190	Endogenous	STAT3	NM_213659.2	369	348	129	284	374	356	571	561	126	385	315	490	97	104	236	176	282	312	72	227	182	601	838	315	508	481	457
191	Endogenous	STAT6	NM_009284.2	93	86	30	69	117	91	116	138	30	115	90	101	27	28	62	52	67	75	22	54	68	150	116	58	110	131	135
192	Endogenous	SerpinG1	NM_009776.3	19	25	4	14	19	10	20	32	12	11	9	11	4	3	13	7	14	7	6	8	6	38	26	17	37	17	14
193	Endogenous	Snap91	NM_013669.1	2985	2076	737	2296	3433	3125	3954	3377	775	3093	2407	3882	576	818	1693	1379	1892	1825	499	1872	1820	3223	3859	1438	3927	3977	3740
194	Endogenous	Sox10	XM_128139.6	128	101	34	115	157	136	185	160	48	139	113	202	35	37	110	70	109	96	20	107	87	220	258	97	282	245	160
195	Endogenous	Synuclein	NM_009221.2	601	478	168	479	711	614	802	726	142	652	547	747	184	229	415	392	558	509	112	518	534	470	574	225	640	638	637
196	Endogenous	TDP43	NM_007375.3	3	4	1	3	1	7	3	6	1	1	2	1	1	1	1	2	4	3	1	2	3	4	2	1	1	4	3
197	Endogenous	TDP43	NM_001003899.2	803	881	254	903	1250	1136	1284	1220	315	1082	965	1331	265	426	853	732	995	919	210	844	825	1194	1323	524	1488	1471	1443
198	Endogenous	TIMP1	NM_001044384.1	19	11	3	9	13	10	19	32	6	10	6	16	3	1	5	4	6	11	3	7	6	22	28	11	12	14	8
199	Endogenous	TLR9	NM_031178.2	14	30	13	13	20	12	23	32	9	10	15	16	7	2	12	11	19	23	5	14	5	26	35	22	18	16	14
200	Endogenous	TLr8	NM_133212.2	4	9	1	1	5	5	9	12	1	1	4	3	1	1	2	1	8	2	2	4	2	6	8	1	5	5	1
201	Endogenous	TNFRSF1A	NM_011609.4	57	83	21	66	84	61	88	149	19	84	64	95	21	28	47	42	64	54	16	28	54	167	190	94	90	91	83
202	Endogenous	TNFRSF1B	NM_011610.3	4	8	1	2	5	7	12	11	2	4	3	5	1	2	2	1	9	5	2	2	1	8	13	2	7	5	3
203	Endogenous	TNFSF11	NM_011613.3	4	6	2	9	5	4	10	14	2	7	9	11	1	4	7	7	6	12	2	9	6	12	19	5	9	5	3
204	Endogenous	TNFSF9	NM_009404.3	4	2	1	2	7	5	7	5	1	2	4	3	2	1	3	5	7	6	2	4	3	3	6	4	7	6	2
205	Endogenous	TNFa	NM_013693.2	8	3	1	4	6	7	8	11	1	5	4	8	1	1	2	3	5	6	2	3	6	12	19	4	6	3	2
206	Endogenous	TREMl1	NM_027763.1	7	10	1	6	14	11	13	16	4	7	8	11	1	2	7	1	4	1	1	1	4	18	14	5	4	4	5
207	Endogenous	TREMl2	NM_001033405.2	9	6	3	6	2	3	4	9	2	4	3	2	3	1	4	2	9	9	2	4	2	10	13	4	10	2	6
208	Endogenous	TREMl4	NM_001033922.2	7	8	1	7	9	9	8	9	3	8	6	8	3	3	14	14	11	11	1	8	9	10	12	1	12	11	9
209	Endogenous	Tgfb1	NM_011577.1	87	70	25	52	63	66	91	113	22	65	59	95	14	18	40	30	41	40	11	35	23	145	190	82	96	90	79
210	Endogenous	Tgfb3	NM_009368.2	88	79	21	86	102	101	108	113	22	98	71	136	23	25	51	38	56	47	22	54	58	137	136	57	181	159	141
211	Endogenous	Tgfbr1	NM_009370.2	166	210	61	184	306	295	274	354	63	327	270	416	57	77	178	128	196	169	41	164	160	384	462	197	328	300	316
212	Endogenous	Tlr1	NM_030682.1	21	38	5	10	10	10	46	37	9	17	15	17	6	5	7	5	29	18	5	8	8	33	25	17	13	6	6
213	Endogenous	Tlr2	NM_011905.2	27	14	4	10	11	10	15	29	3	9	6	3	3	3	6	2	10	5	2	7	4	26	24	9	14	9	12
214	Endogenous	Tlr4	NM_021297.2	31	33	12	23	31	33	64	60	9	33	24	34	7	8	17	18	40	34	3	17	27	54	66	28	45	43	23
215	Endogenous	Tlr6	NM_011604.3	41	12	5	12	14	26	18	44	5	13	7	24	6	7	9	13	17	28	4	9	15	17	28	9	21	9	17
216	Endogenous	Tlr7	NM_133211.3	16	35	9	11	21	15	18	36	4	19	18	24	7	6	13	18	24	14	4	13	15	62	53	22	34	20	21
217	Endogenous	Transferrin	NM_133977.2	2633	3760	996	2191	4516	3821	5246	5298	1164	4817	3801	5882	1017	1017	3268	2162	3072	3522	660	3743	2741	7581	12149	3373	7537	5380	4750
218	Endogenous	Trem-1	NM_021406.5	6	8	3	10	4	10	5	12	5	3	6	2	2	7	10	7	8	10	4	7	8	7	8	1	8	5	3
219	Endogenous	Trem-2	NM_031254.2	173	193	54	144	152	168	187	253	72	194	176	171	51	33	62	57	146	129	26	31	55	566	651	339	133	139	86
220	Endogenous	TyroBP/DAP12	NM_011662.2	580	711	177	433	545	536	600	1157	179	666	675	729	260	97	213	169	536	507	152	175	244	1397	1506	799	380	357	422
221	Endogenous	Tyrosine_hydroxylase	NM_009377.1	38	29	11	18	37	68	29	43	6	74	33	86	10	12	26	12	16	39	4	24	15	49	61	17	64	68	42
222	Endogenous	UbC	NM_019639.4	2575	2189	761	2450	3499	3016	3343	3278	798	3640	2484	3837	523	773	1725	1415	1770	1852	420	2013	1489	5085	6136	2403	6010	5495	4300
223	Endogenous	Ubiquilin1/2	NM_152234.2	224	153	59	196	293	251	257	261	61	247	232	341	46	72	149	146	153	202	27	185	166	260	291	120	302	280	280
224	Endogenous	VWF	NM_011708.3	139	96	46	100	146	97	219	187	48	149	103	220	26	31	51	68	100	99	29	109	70	143	201	63	167	125	170
225	Endogenous	ZBP1	NM_021394.2	21	48	13	5	15	3	34	88	12	9	12	10	17	6	20	4	66	48	12	6	6	20	16	8	15	11	4
226	Endogenous	alpha-syn	NM_000345.3	1228	923	286	1036	1298	1128	1493	1287	285	1048	939	1206	243	363	681	570	876	844	195	745	804	967	1123	419	1287	1181	948
227	Endogenous	betaIII_Tubulin	NM_023279.2	1995	1640	597	1933	2798	2703	2804	2467	684	2747	2024	3176	428	731	1578	1344	1677	1658	360	1674	1530	2503	3291	1164	3090	3087	3400
228	Endogenous	c2	NM_013484.2	38	44	14	11	25	22	67	59	17	27	15	50	16	11	24	10	38	28	7	19	22	36	38	13	37	24	44
229	Endogenous	c4a	NM_011413.2	1248	1127	407	251	269	259	1581	2174	402	367	253	479	305	72	214	72	721	841	169	105	143	2728	3108	1398	595	528	447
230	Endogenous	cd163	NM_053094.2	17	15	5	17	20	15	31	30	5	10	9	16	4	8	10	12	15	12	1	8	13	29	19	9	37	31	26
231	Endogenous	eif2alpha	NM_026114.3	396	464	118	457	627	519	561	601	137	522	417	647	115	158	380	305	425	411	79	361	339	452	563	210	598	527	428
232	Endogenous	protein_phosphatase_2A	NM_019411.4	3730	3565	1056	3662	5317	5028	5053	5055	1058	4771	3915	5716	1069	1533	3268	2924	3644	3462	760	3476	2986	4627	5667	2073	6193	6127	5237
233	Endogenous	synaptophysin	NM_009305.2	2534	2047	565	2191	3023	2832	2894	2748	720	3037	2363	3227	402	624	1503	1179	1546	1544	361	1642	1422	4121	4804	1888	5227	4876	3095
234	Endogenous	tPA	NM_008872.2	148	113	43	105	141	124	191	205	37	146	109	174	45	49	118	100	107	100	22	105	103	152	186	78	195	183	159
235	Endogenous	zif268	NM_007913.5	204	256	94	540	737	719	388	461	102	690	473	900	80	169	338	368	328	335	91	584	256	549	1273	438	1855	1737	1195
236	Housekeeping	Cltc	NM_001003908.1	7299	6347	2090	6427	10245	9035	10465	9484	2217	9558	7219	11131	2012	2665	6213	5025	7027	6809	1444	6473	5564	8555	10457	4146	10826	10471	9815
237	Housekeeping	GAPDH	NM_001001303.1	17581	14444	4263	15150	21300	20123	21048	20767	4694	21228	16817	23931	3295	4898	10975	9916	13196	12078	2520	11100	10589	27000	31669	11854	32405	30437	21018
238	Housekeeping	Hprt1	NM_013556.2	3014	2835	873	2657	3855	3861	4009	3811	932	3489	2981	4551	869	1182	2694	2144	3079	2866	698	2576	2374	2770	3453	1295	3703	3712	3565
239	Housekeeping	Pgk1	NM_008828.2	6021	5349	1616	5183	7805	7775	7892	7686	1607	7241	5983	8727	1615	2283	5202	4397	6009	5378	1263	5044	4935	6753	8216	3051	8400	8263	7939
240	Housekeeping	Tubb5	NM_011655.5	2125	1591	518	1647	2370	2115	2461	2402	660	2229	1740	2705	351	528	1146	933	1229	1217	255	1277	1212	3055	3698	1437	3730	3443	2230
241	Negative	NEG_A	ERCC_00096.1	2	4	3	3	6	2	5	9	3	7	3	4	2	1	1	5	4	8	1	4	2	7	3	4	6	2	4
242	Negative	NEG_B	ERCC_00041.1	10	3	1	6	8	7	4	10	1	3	6	10	2	1	6	3	3	2	1	4	5	10	6	2	6	5	3
243	Negative	NEG_C	ERCC_00019.1	7	7	1	3	7	6	2	5	1	4	4	8	2	2	8	6	9	7	2	8	4	9	6	1	4	6	3
244	Negative	NEG_D	ERCC_00076.1	2	1	1	3	2	5	2	5	2	4	4	4	1	2	4	5	1	5	2	9	1	7	8	1	3	2	3
245	Negative	NEG_E	ERCC_00098.1	8	8	3	9	9	5	10	10	3	6	8	8	3	2	4	6	6	12	2	14	4	10	20	1	10	14	4
246	Negative	NEG_F	ERCC_00126.1	7	3	6	6	6	8	8	5	1	2	9	10	1	2	3	5	6	6	3	7	10	12	7	4	8	5	2
247	Negative	NEG_G	ERCC_00144.1	2	8	3	1	7	3	9	5	2	6	5	5	4	1	3	9	8	6	3	8	8	5	9	3	6	6	1
248	Negative	NEG_H	ERCC_00154.1	3	9	1	3	6	4	7	8	2	10	9	8	3	3	4	10	9	10	3	7	11	8	9	2	10	8	7
249	Positive	POS_A	ERCC_00117.1	10795	9689	2552	8029	10774	11399	10170	10871	3128	10654	7784	10097	1815	3596	7259	6510	8145	8580	1656	7746	6644	13499	15084	6236	15667	10898	4369
250	Positive	POS_B	ERCC_00112.1	4072	3837	964	2986	4228	4386	3991	4263	1140	4280	3042	3960	766	1483	3255	2765	3708	3810	613	3450	2785	4419	5185	2015	5261	3530	1565
251	Positive	POS_C	ERCC_00002.1	1045	1045	240	836	1165	1176	1108	1151	335	1101	761	1068	214	450	882	799	1003	1075	185	954	788	1136	1354	550	1348	865	389
252	Positive	POS_D	ERCC_00092.1	271	220	64	179	227	290	253	246	64	275	184	244	77	93	192	181	180	237	48	197	167	288	310	122	322	204	100
253	Positive	POS_E	ERCC_00035.1	31	52	9	31	42	37	38	45	14	41	26	30	8	12	25	22	42	31	2	28	18	46	58	35	60	37	20
254	Positive	POS_F	ERCC_00034.1	22	20	7	16	19	21	24	15	5	19	14	17	6	4	17	9	21	10	3	18	19	19	26	7	36	14	6
