"© 2000-2014 Ingenuity Systems, Inc. All rights reserved."			
			
Ingenuity Canonical Pathways	 -log(p-value)	Ratio	Molecules
ErbB Signaling	2.48E+00	5.56E-02	"MAP2K4,MAP2K6,FOS,MAPK8,PRKCB"
Antiproliferative Role of TOB in T Cell Signaling	2.46E+00	1.15E-01	"TGFBR1,TGFB1,TGFB3"
FGF Signaling	2.46E+00	5.32E-02	"MAP2K6,PTPN6,CREB1,MAPK8,STAT3"
UVB-Induced MAPK Signaling	2.45E+00	6.90E-02	"MAP2K4,FOS,MAPK8,PRKCB"
RANK Signaling in Osteoclasts	2.43E+00	5.15E-02	"MAP2K4,MAP2K6,FOS,TNFSF11,MAPK8"
Citrulline Biosynthesis	2.43E+00	7.69E-02	"GLS,ARG1"
CTLA4 Signaling in Cytotoxic T Lymphocytes	2.41E+00	5.21E-02	"B2M,PTPN6,PPP2CA,CLTC,FCER1G"
Thrombopoietin Signaling	2.40E+00	6.25E-02	"MYC,FOS,STAT3,PRKCB"
EGF Signaling	2.37E+00	6.25E-02	"MAP2K4,FOS,MAPK8,STAT3"
ErbB2-ErbB3 Signaling	2.34E+00	6.35E-02	"MYC,STAT3,JAK3,CCND1"
Prostanoid Biosynthesis	2.33E+00	1.33E-01	"PTGS2,PTGDS"
Glioma Invasiveness Signaling	2.31E+00	6.06E-02	"PLG,TIMP1,MMP2,MMP9"
RAR Activation	2.29E+00	3.59E-02	"MAP2K4,FOS,TGFB1,MAPK8,IGFBP3,TGFB3,PRKCB"
Chronic Myeloid Leukemia Signaling	2.29E+00	4.72E-02	"MYC,TGFBR1,TGFB1,TGFB3,CCND1"
IL-15 Signaling	2.24E+00	5.56E-02	"STAT6,STAT3,JAK3,IL4"
Calcium-induced T Lymphocyte Apoptosis	2.21E+00	5.63E-02	"HLA-DRA,FCER1G,HLA-DRB1,PRKCB"
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.20E+00	7.69E-02	"B2M,FCER1G,CASP8"
Estrogen-Dependent Breast Cancer Signaling	2.19E+00	5.48E-02	"FOS,IGF1,CREB1,CCND1"
GM-CSF Signaling	2.19E+00	5.88E-02	"HCK,STAT3,CCND1,PRKCB"
Synaptic Long Term Depression	2.18E+00	3.70E-02	"IGF1,PPP2CA,CRH,CRHR1,NOS2,PRKCB"
Neuropathic Pain Signaling In Dorsal Horn Neurons	2.18E+00	4.59E-02	"FOS,GRIN2A,BDNF,CREB1,PRKCB"
Paxillin Signaling	2.16E+00	4.27E-02	"MAP2K4,ITGB2,ITGAM,MAPK8,ITGAX"
IL-9 Signaling	2.13E+00	7.50E-02	"STAT3,JAK3,TNF"
Oncostatin M Signaling	2.13E+00	8.57E-02	"MMP3,STAT3,JAK3"
Pyridoxal 5'-phosphate Salvage Pathway	2.11E+00	5.26E-02	"MAP2K4,MAP2K6,MAPK8,LIMK1"
Cell Cycle: G1/S Checkpoint Regulation	2.11E+00	5.56E-02	"MYC,TGFB1,TGFB3,CCND1"
GDNF Family Ligand-Receptor Interactions	2.07E+00	5.26E-02	"MAP2K4,FOS,CREB1,MAPK8"
April Mediated Signaling	2.00E+00	6.82E-02	"MAP2K4,FOS,MAPK8"
Gαs Signaling	1.98E+00	4.00E-02	"MSR1,CREB1,HCK,CRHR1,PTGER4"
Prolactin Signaling	1.96E+00	4.76E-02	"MYC,FOS,STAT3,PRKCB"
Ephrin B Signaling	1.94E+00	4.88E-02	"CFL1,CXCR4,AXIN1,LIMK1"
B Cell Activating Factor Signaling	1.94E+00	6.52E-02	"MAP2K4,FOS,MAPK8"
G-Protein Coupled Receptor Signaling	1.93E+00	2.90E-02	"CCR4,CXCR2,CREB1,P2RY12,STAT3,CRHR1,PTGER4,PRKCB"
Melatonin Degradation III	1.93E+00	1.67E-01	MPO
FcγRIIB Signaling in B Lymphocytes	1.91E+00	4.69E-02	"MAP2K4,MAPK8,FCGR2B"
HER-2 Signaling in Breast Cancer	1.90E+00	4.88E-02	"ITGB2,MMP2,CCND1,PRKCB"
Gα12/13 Signaling	1.89E+00	3.94E-02	"MAP2K4,MYL2,MAPK8,MEF2C,MEF2B"
Cyclins and Cell Cycle Regulation	1.83E+00	4.17E-02	"PPP2CA,TGFB1,TGFB3,CCND1"
Parkinson's Signaling	1.83E+00	1.05E-01	"MAPK8,SNCA"
Protein Kinase A Signaling	1.81E+00	2.44E-02	"PTPRC,TH,PTPN6,TGFBR1,MYL2,TGFB1,CREB1,TGFB3,PTGS2,PRKCB"
cAMP-mediated signaling	1.80E+00	3.10E-02	"CCR4,CXCR2,CREB1,P2RY12,STAT3,CRHR1,PTGER4"
nNOS Signaling in Neurons	1.75E+00	5.77E-02	"GRIN2A,DLG4,PRKCB"
Endoplasmic Reticulum Stress Pathway	1.73E+00	1.05E-01	"MAPK8,EIF2S1"
Ephrin A Signaling	1.72E+00	5.56E-02	"CFL1,ADAM10,LIMK1"
Neuregulin Signaling	1.69E+00	3.85E-02	"MYC,ADAM17,DLG4,PRKCB"
Ovarian Cancer Signaling	1.68E+00	3.29E-02	"AXIN1,MMP2,PTGS2,CCND1,MMP9"
Virus Entry via Endocytic Pathways	1.68E+00	3.96E-02	"B2M,ITGB2,CLTC,PRKCB"
Human Embryonic Stem Cell Pluripotency	1.66E+00	3.09E-02	"TGFBR1,BDNF,AXIN1,TGFB1,TGFB3"
Signaling by Rho Family GTPases	1.65E+00	2.61E-02	"MAP2K4,FOS,MYL2,CFL1,MAPK8,GFAP,LIMK1"
Cardiomyocyte Differentiation via BMP Receptors	1.64E+00	8.70E-02	"MYL2,MEF2C"
Endometrial Cancer Signaling	1.63E+00	5.00E-02	"MYC,AXIN1,CCND1"
Guanine and Guanosine Salvage I	1.63E+00	1.11E-01	HPRT1
Glutamine Degradation I	1.63E+00	2.00E-01	GLS
IL-2 Signaling	1.61E+00	4.92E-02	"FOS,MAPK8,JAK3"
Mouse Embryonic Stem Cell Pluripotency	1.58E+00	4.04E-02	"MYC,AXIN1,STAT3,JAK3"
Salvage Pathways of Pyrimidine Ribonucleotides	1.58E+00	3.54E-02	"MAP2K4,MAP2K6,MAPK8,LIMK1"
Nur77 Signaling in T Lymphocytes	1.57E+00	4.69E-02	"HLA-DRA,FCER1G,HLA-DRB1"
Antioxidant Action of Vitamin C	1.55E+00	3.60E-02	"MAP2K4,HMOX1,MAPK8,TNF"
T Cell Receptor Signaling	1.55E+00	3.67E-02	"MAP2K4,PTPRC,FOS,MAPK8"
Integrin Signaling	1.53E+00	2.88E-02	"MAP2K4,ITGB2,ITGAM,MYL2,MAPK8,ITGAX"
Gluconeogenesis I	1.53E+00	4.26E-02	"PGK1,GAPDH"
Tumoricidal Function of Hepatic Natural Killer Cells	1.49E+00	7.41E-02	"CASP8,AIFM1"
Estrogen-mediated S-phase Entry	1.49E+00	7.14E-02	"MYC,CCND1"
Glycolysis I	1.49E+00	4.88E-02	"PGK1,GAPDH"
Glutamate Receptor Signaling	1.49E+00	4.17E-02	"GRIN2A,GLS,DLG4"
ATM Signaling	1.47E+00	4.55E-02	"MAP2K4,CREB1,MAPK8"
Rac Signaling	1.46E+00	3.12E-02	"MAP2K4,CFL1,MAPK8,LIMK1"
NADH Repair	1.46E+00	1.11E-01	GAPDH
Thyroid Hormone Biosynthesis	1.46E+00	1.43E-01	CTSD
Lipid Antigen Presentation by CD1	1.43E+00	6.67E-02	"B2M,FCER1G"
iCOS-iCOSL Signaling in T Helper Cells	1.42E+00	3.17E-02	"PTPRC,HLA-DRA,FCER1G,HLA-DRB1"
IL-15 Production	1.40E+00	6.45E-02	"IL6,JAK3"
Erythropoietin Signaling	1.35E+00	3.80E-02	"FOS,PTPN6,PRKCB"
Heme Degradation	1.33E+00	9.09E-02	HMOX1
Arginine Degradation I (Arginase Pathway)	1.33E+00	7.69E-02	ARG1
Agrin Interactions at Neuromuscular Junction	1.33E+00	4.29E-02	"MAP2K4,ITGB2,MAPK8"
Remodeling of Epithelial Adherens Junctions	1.33E+00	4.29E-02	"TUBB3,DNM1L,TUBB"
CCR3 Signaling in Eosinophils	1.32E+00	2.99E-02	"CFL1,CCL11,LIMK1,PRKCB"
Melatonin Signaling	1.30E+00	3.70E-02	"MAP2K4,MAP2K6,PRKCB"
Renal Cell Carcinoma Signaling	1.30E+00	3.80E-02	"FOS,TGFB1,UBC"
4-1BB Signaling in T Lymphocytes	1.29E+00	5.56E-02	"MAP2K4,MAPK8"
Small Cell Lung Cancer Signaling	1.29E+00	3.19E-02	"MYC,PTGS2,CCND1"
Gαi Signaling	1.25E+00	2.96E-02	"CCR4,CXCR2,P2RY12,STAT3"
Catecholamine Biosynthesis	1.24E+00	6.25E-02	TH
Citrulline-Nitric Oxide Cycle	1.24E+00	6.25E-02	NOS2
RhoA Signaling	1.24E+00	3.12E-02	"IGF1,MYL2,CFL1,LIMK1"
PI3K/AKT Signaling	1.24E+00	2.63E-02	"PPP2CA,PTGS2,JAK3,CCND1"
FLT3 Signaling in Hematopoietic Progenitor Cells	1.23E+00	3.80E-02	"STAT6,CREB1,STAT3"
Circadian Rhythm Signaling	1.22E+00	5.26E-02	"GRIN2A,CREB1"
Role of JAK2 in Hormone-like Cytokine Signaling	1.22E+00	5.41E-02	"PTPN6,STAT3"
BMP signaling pathway	1.22E+00	3.49E-02	"MAP2K4,CREB1,MAPK8"
Calcium Signaling	1.20E+00	2.30E-02	"GRIN2A,MYL2,CREB1,MEF2C,MEF2B"
Cell Cycle Regulation by BTG Family Proteins	1.19E+00	5.13E-02	"PPP2CA,CCND1"
Urea Cycle	1.16E+00	5.00E-02	ARG1
Arginine Degradation VI (Arginase 2 Pathway)	1.16E+00	6.25E-02	ARG1
Regulation of Actin-based Motility by Rho	1.13E+00	3.26E-02	"MYL2,CFL1,LIMK1"
Docosahexaenoic Acid (DHA) Signaling	1.11E+00	4.00E-02	"IL1B,APP"
Breast Cancer Regulation by Stathmin1	1.10E+00	2.34E-02	"TUBB3,PPP2CA,TUBB,LIMK1,PRKCB"
Relaxin Signaling	1.10E+00	2.44E-02	"FOS,CREB1,NOS2,MMP9"
Adenine and Adenosine Salvage III	1.10E+00	5.88E-02	HPRT1
Melanocyte Development and Pigmentation Signaling	1.09E+00	3.16E-02	"PTPN6,SOX10,CREB1"
CDK5 Signaling	1.07E+00	3.09E-02	"BDNF,PPP2CA,EGR1"
UVA-Induced MAPK Signaling	1.03E+00	3.06E-02	"MAP2K4,FOS,MAPK8"
Epithelial Adherens Junction Signaling	1.02E+00	2.60E-02	"TUBB3,TGFBR1,MYL2,TUBB"
Role of RIG1-like Receptors in Antiviral Innate Immunity	1.02E+00	4.08E-02	"IFIH1,CASP8"
VEGF Signaling	1.02E+00	2.75E-02	"PTPN6,EIF2S1,PRKCB"
Glioblastoma Multiforme Signaling	1.02E+00	2.38E-02	"MYC,IGF1,AXIN1,CCND1"
Glioma Signaling	9.91E-01	2.65E-02	"IGF1,CCND1,PRKCB"
SAPK/JNK Signaling	9.91E-01	2.86E-02	"MAP2K4,MAPK8,FCER1G"
GABA Receptor Signaling	9.74E-01	3.57E-02	"UBQLN1,UBC"
Amyloid Processing	9.16E-01	3.28E-02	"BACE1,APP"
Semaphorin Signaling in Neurons	9.02E-01	3.70E-02	"CFL1,LIMK1"
Primary Immunodeficiency Signaling	9.02E-01	3.12E-02	"PTPRC,JAK3"
Dopamine-DARPP32 Feedback in cAMP Signaling	8.95E-01	2.14E-02	"GRIN2A,PPP2CA,CREB1,PRKCB"
NGF Signaling	8.77E-01	2.46E-02	"MAP2K4,CREB1,MAPK8"
Choline Biosynthesis III	8.45E-01	4.55E-02	HMOX1
Role of NANOG in Mammalian Embryonic Stem Cell Pluripotency	8.35E-01	2.52E-02	"AXIN1,STAT3,JAK3"
Phospholipases	8.25E-01	2.94E-02	"CCR1,HMOX1"
Chondroitin Sulfate Degradation (Metazoa)	8.15E-01	4.35E-02	Chil3/Chil4
ErbB4 Signaling	8.02E-01	2.90E-02	"ADAM17,PRKCB"
Leukotriene Biosynthesis	7.88E-01	3.85E-02	ALOX5
Dermatan Sulfate Degradation (Metazoa)	7.88E-01	4.35E-02	Chil3/Chil4
Synaptic Long Term Potentiation	7.72E-01	2.31E-02	"GRIN2A,CREB1,PRKCB"
p70S6K Signaling	7.72E-01	2.27E-02	"PPP2CA,IL4,PRKCB"
Granzyme B Signaling	7.62E-01	5.56E-02	CASP8
Fatty Acid α-oxidation	7.62E-01	4.35E-02	PTGS2
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	7.48E-01	2.63E-02	"IFNG,CCL5"
Protein Ubiquitination Pathway	7.36E-01	1.85E-02	"B2M,IFNG,HSPB2,UBC,HSPB1"
PXR/RXR Activation	7.28E-01	2.17E-02	"IL6,TNF"
Mitotic Roles of Polo-Like Kinase	7.28E-01	2.70E-02	"PPP2CA,TGFB1"
Retinoic acid Mediated Apoptosis Signaling	7.28E-01	2.74E-02	"IFNG,CASP8"
Ethanol Degradation IV	7.16E-01	3.45E-02	CAT
PEDF Signaling	6.90E-01	2.53E-02	"BDNF,CASP8"
GADD45 Signaling	6.75E-01	4.17E-02	CCND1
NF-κB Activation by Viruses	6.63E-01	2.41E-02	"ITGB2,PRKCB"
Leptin Signaling in Obesity	6.55E-01	2.35E-02	"NPY,STAT3"
VEGF Family Ligand-Receptor Interactions	6.46E-01	2.27E-02	"FOS,PRKCB"
Dopamine Receptor Signaling	6.46E-01	2.08E-02	"TH,PPP2CA"
D-myo-inositol-5-phosphate Metabolism	6.40E-01	1.85E-02	"PTPRC,CCR1,PTPN6"
Polyamine Regulation in Colon Cancer	6.39E-01	3.33E-02	MYC
Maturity Onset Diabetes of Young (MODY) Signaling	6.22E-01	3.03E-02	GAPDH
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	6.22E-01	2.41E-02	"IFNG,AXIN1"
Actin Cytoskeleton Signaling	6.08E-01	1.65E-02	"MYL2,CFL1,CD14,LIMK1"
Role of Lipids/Lipid Rafts in the Pathogenesis of Influenza	6.06E-01	3.45E-02	IFNG
Prostate Cancer Signaling	5.91E-01	1.94E-02	"CREB1,CCND1"
Aldosterone Signaling in Epithelial Cells	5.69E-01	1.78E-02	"HSPB2,HSPB1,PRKCB"
Gap Junction Signaling	5.53E-01	1.66E-02	"TUBB3,TUBB,PRKCB"
Pyrimidine Ribonucleotides Interconversion	5.48E-01	2.50E-02	ENTPD1
"D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis"	5.36E-01	2.50E-02	CCR1
Pyrimidine Ribonucleotides De Novo Biosynthesis	5.23E-01	1.85E-02	ENTPD1
p53 Signaling	4.92E-01	1.77E-02	"MAPK8,CCND1"
TWEAK Signaling	4.89E-01	2.56E-02	CASP8
Interferon Signaling	4.79E-01	2.78E-02	IFNG
Telomerase Signaling	4.75E-01	1.89E-02	"MYC,PPP2CA"
RhoGDI Signaling	4.72E-01	1.49E-02	"MYL2,CFL1,LIMK1"
CREB Signaling in Neurons	4.68E-01	1.45E-02	"GRIN2A,CREB1,PRKCB"
Notch Signaling	4.40E-01	2.33E-02	ADAM17
fMLP Signaling in Neutrophils	4.33E-01	1.52E-02	"NCF1,PRKCB"
Sphingosine-1-phosphate Signaling	4.28E-01	1.63E-02	"CASP1,CASP8"
Mechanisms of Viral Exit from Host Cells	4.22E-01	2.22E-02	PRKCB
Transcriptional Regulatory Network in Embryonic Stem Cells	4.22E-01	2.33E-02	STAT3
Androgen Signaling	4.18E-01	1.38E-02	"CCND1,PRKCB"
Superpathway of Inositol Phosphate Compounds	4.10E-01	1.28E-02	"PTPRC,CCR1,PTPN6"
Thrombin Signaling	4.07E-01	1.42E-02	"MYL2,CREB1,PRKCB"
mTOR Signaling	4.07E-01	1.41E-02	"HMOX1,PPP2CA,PRKCB"
Melanoma Signaling	4.06E-01	2.00E-02	CCND1
Hereditary Breast Cancer Signaling	4.00E-01	1.49E-02	"UBC,CCND1"
PTEN Signaling	3.91E-01	1.44E-02	"TGFBR1,CCND1"
"D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis"	3.70E-01	1.39E-02	"PTPRC,PTPN6"
"D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis"	3.70E-01	1.39E-02	"PTPRC,PTPN6"
eNOS Signaling	3.38E-01	1.29E-02	"CASP8,AQP4"
CNTF Signaling	3.36E-01	1.75E-02	STAT3
Lymphotoxin β Receptor Signaling	3.25E-01	1.61E-02	LTBR
Role of CHK Proteins in Cell Cycle Checkpoint Control	3.19E-01	1.69E-02	PPP2CA
Regulation of Cellular Mechanics by Calpain Protease	3.08E-01	1.37E-02	CCND1
3-phosphoinositide Degradation	3.07E-01	1.23E-02	"PTPRC,PTPN6"
Superpathway of Melatonin Degradation	2.93E-01	1.23E-02	MPO
Regulation of eIF4 and p70S6K Signaling	2.82E-01	1.14E-02	"PPP2CA,EIF2S1"
Gαq Signaling	2.82E-01	1.17E-02	"HMOX1,PRKCB"
Antiproliferative Role of Somatostatin Receptor 2	2.74E-01	1.39E-02	PTPN6
3-phosphoinositide Biosynthesis	2.70E-01	1.10E-02	"PTPRC,PTPN6"
Non-Small Cell Lung Cancer Signaling	2.69E-01	1.20E-02	CCND1
Hypoxia Signaling in the Cardiovascular System	2.65E-01	1.47E-02	CREB1
Basal Cell Carcinoma Signaling	2.36E-01	1.28E-02	AXIN1
