Names	Tg_CTRL vs. Tg_IL10	Tg_CTRL vs. Tg_OLD	Tg_CTRL vs. WT_CTRL	Tg_CTRL vs. WT_IL10	Tg_CTRL vs. WT_OLD	Tg_IL10 vs. Tg_OLD	Tg_IL10 vs. WT_CTRL	Tg_IL10 vs. WT_IL10	Tg_IL10 vs. WT_OLD	Tg_OLD vs. WT_CTRL	Tg_OLD vs. WT_IL10	Tg_OLD vs. WT_OLD	WT_CTRL vs. WT_IL10	WT_CTRL vs. WT_OLD	WT_IL10 vs. WT_OLD
NM_001003899.2	0	 0.068833	   -0.27417	 -0.25067	0	0	    -0.2865	    -0.263	0	   -0.343	   -0.3195	0	0	0	   0.1445
NM_001044384.1	   -1.6282	  -2.5286	0	   0.3721	0	0	     2.0003	0	    2.0003	   2.9007	    2.9007	    2.9007	0	0	0
NM_031178.2	   -1.9578	  -2.2635	     1.1306	  -1.5948	0	0	     3.0884	0	    1.8825	   3.3941	0	    2.1882	  -2.7254	0	   1.5195
NM_133212.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_011609.4	0	   -1.214	0	 -0.15158	0	   -1.0245	0	0	0	   1.5057	    1.0624	    1.2607	0	0	  0.19825
NM_011610.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_011613.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_009404.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_013693.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_027763.1	0	0	0	  0.33458	0	0	0	0	0	0	0	0	0	0	0
NM_001033405.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001033922.2	0	0	0	0	0	0	    -1.0276	0	0	  -1.0276	0	0	0	0	 -0.22407
NM_011577.1	  -0.52133	   -1.293	     0.7042	  0.37175	0	  -0.77167	     1.2255	   0.89308	     0.342	   1.9972	    1.6648	    1.1137	0	 -0.88353	 -0.55108
NM_009368.2	0	 -0.23933	    0.44173	  0.22158	 -0.46933	   -0.3435	    0.33757	0	   -0.5735	  0.68107	0	0	0	 -0.91107	 -0.69092
NM_009370.2	   0.24567	 -0.33533	     0.2452	   0.2225	0	    -0.581	0	0	0	  0.58053	   0.55783	   0.53433	0	0	0
NM_030682.1	   -2.4765	  -2.4053	0	  -2.0317	0	0	     3.0194	0	    3.4948	   2.9483	0	    3.4237	  -2.5746	0	     3.05
NM_011905.2	    -1.694	  -2.6223	0	0	0	0	      1.694	0	0	   2.6223	    2.6223	0	0	0	 -0.80367
NM_021297.2	  -0.65983	  -1.0863	0	0	0	   -0.4265	     1.2514	0	0	   1.6779	0	   0.98433	0	0	 -0.80375
NM_011604.3	0	  -0.5565	0	0	0	0	0	0	0	0	0	0	0	0	  0.58311
NM_133211.3	0	  -2.3986	0	0	0	   -1.9951	0	0	0	   2.7355	    2.9923	0	0	0	  -1.2293
NM_133977.2	0	   -0.925	0	 -0.18833	0	  -0.82333	0	0	0	  0.77867	   0.73667	   0.70333	0	0	-0.033333
NM_021406.5	0	0	0	-0.031775	0	0	0	0	0	0	0	0	0	0	 0.031775
NM_031254.2	    -0.408	  -1.8085	     1.2509	  -0.1715	  0.86817	   -1.4005	     1.6589	0	    1.2762	   3.0594	     1.637	    2.6767	  -1.4224	0	   1.0397
NM_011662.2	  -0.34633	    -1.19	    0.92627	 -0.59608	  0.93867	  -0.84367	     1.2726	0	     1.285	   2.1163	   0.59392	    2.1287	  -1.5224	0	   1.5347
NM_009377.1	   0.75867	0	     1.7589	   1.8269	0	  -0.58517	0	0	  -0.91517	   1.5854	0	0	0	0	  -1.9834
NM_019639.4	0	    -0.61	    0.23467	  0.28667	    -0.44	     -0.66	    0.18467	   0.23667	     -0.49	  0.84467	   0.89667	      0.17	0	 -0.67467	 -0.72667
NM_152234.2	   0.16683	   0.1475	0	  0.31092	0	0	   -0.13067	0	0	 -0.11133	0	0	0	0	 -0.16908
NM_011708.3	  -0.37467	0	0	0	0	      0.31	    0.67593	0	0	  0.36593	0	0	0	0	   0.1395
NM_021394.2	   -4.2801	  -1.2779	0	  -5.2624	0	    3.0022	      3.235	0	    4.2823	0	   -3.9845	0	  -4.2173	0	   5.2647
NM_000345.3	  -0.15383	  0.36317	0	 -0.11292	   0.2785	     0.517	0	0	   0.43233	 -0.40393	  -0.47608	0	0	  0.31927	  0.39142
NM_023279.2	      0.09	    0.085	0	    0.175	0	0	0	0	0	0	      0.09	0	    0.138	0	 -0.20333
NM_013484.2	   -2.0817	 -0.83398	0	  -1.6578	0	    1.2477	     2.0809	0	0	0	  -0.82383	0	0	0	  0.83183
NM_011413.2	   -2.4187	  -3.1153	    0.63727	  -1.9716	 -0.48633	  -0.69667	     3.0559	0	    1.9323	   3.7526	    1.1438	     2.629	  -2.6089	  -1.1236	   1.4853
NM_053094.2	0	0	0	   1.0969	  -2.1777	0	0	0	   -1.4033	0	0	0	0	  -2.5929	  -3.2746
NM_026114.3	0	   0.3275	0	-0.054083	  0.34717	   0.29867	0	0	   0.31833	 -0.38493	  -0.38158	0	0	   0.4046	  0.40125
NM_019411.4	     0.085	  0.14167	   -0.12767	-0.084167	0	0	   -0.21267	  -0.16917	     -0.09	 -0.26933	  -0.22583	  -0.14667	0	  0.12267	 0.079167
NM_009305.2	  0.071667	   -0.445	    0.28767	  0.37667	0	  -0.51667	      0.216	     0.305	      -0.4	  0.73267	   0.82167	0	0	   -0.616	   -0.705
NM_008872.2	  -0.31833	 -0.14833	   -0.34413	 -0.19533	 -0.16233	      0.17	0	0	     0.156	  -0.1958	0	0	0	   0.1818	0
NM_007913.5	      0.97	0	0	  0.54225	 -0.94667	   -1.1593	    -0.7872	0	   -1.9167	0	   0.73158	0	0	  -1.1295	  -1.4889
NM_001003908.1	0	  0.12333	  -0.079333	 -0.12083	0	       0.1	   -0.10267	  -0.14417	0	 -0.20267	  -0.24417	0	0	0	  0.19083
NM_001001303.1	  0.061667	 -0.31167	      0.197	    0.225	0	  -0.37333	    0.13533	   0.16333	0	  0.50867	   0.53667	0	0	 -0.37533	 -0.40333
NM_013556.2	0	  0.44167	     -0.167	   -0.265	0	     0.465	   -0.14367	  -0.24167	     0.275	 -0.60867	  -0.70667	0	0	  0.41867	  0.51667
NM_008828.2	     0.045	  0.17833	     -0.163	   -0.175	0	   0.13333	     -0.208	     -0.22	0	 -0.34133	  -0.35333	0	0	0	     0.26
NM_011655.5	  -0.10667	 -0.43333	       0.21	   0.3325	0	  -0.32667	    0.31667	   0.43917	0	  0.64333	   0.76583	0	   0.1225	0	 -0.56583
